text,source,datetime,location,user_id
Excellent customer support!,Mobile App,2025-05-03 14:10:25,"Coreyberg, Hawaii, Ireland",UID57262
Nothing special.,Email,2025-02-20 20:01:27,"Lake Dean, West Virginia, San Marino",UID38181
Average experience.,Mobile App,2023-09-02 22:39:39,"West Josephborough, New Mexico, Botswana",UID18280
Not worth the money.,Mobile App,2024-02-11 20:39:46,"West Marcfurt, New York, Mauritius",UID97639
Nothing special.,Facebook,2025-03-26 06:13:25,"Snyderhaven, Arizona, Seychelles",UID10152
Loved the experience.,Chatbot,2025-03-01 04:45:08,"Lake Davidstad, Wisconsin, Netherlands",UID71916
Excellent customer support!,Phone Call,2023-08-12 19:42:08,"East Roberto, Maryland, Colombia",UID12775
Very disappointed.,Phone Call,2023-10-25 19:43:11,"Lake Gina, Illinois, Guadeloupe",UID42239
I want a refund.,Phone Call,2024-02-26 19:36:41,"Robertton, Indiana, Congo",UID17965
No complaints.,Phone Call,2024-12-03 22:33:21,"Carsonshire, Virginia, Comoros",UID64645
Product matches the description.,Phone Call,2023-08-02 01:14:56,"Port Matthewland, Oregon, Korea",UID86027
Loved the experience.,Facebook,2023-12-04 22:32:31,"East Jacqueline, Connecticut, Guinea",UID75366
It was okay.,Email,2024-01-09 14:56:44,"Matthewmouth, Oklahoma, Saint Lucia",UID77482
Will recommend to others.,Email,2024-05-25 08:05:18,"Fowlerburgh, South Dakota, Hong Kong",UID45562
Nothing special.,Chatbot,2023-05-31 22:44:04,"East Mark, Maine, Angola",UID67041
Not worth the money.,Email,2024-11-01 19:33:39,"North Cindy, Wisconsin, New Zealand",UID67705
Terrible experience.,Email,2024-07-14 15:37:31,"Hicksland, Rhode Island, Saint Kitts and Nevis",UID63719
Very disappointed.,Phone Call,2024-03-11 14:25:23,"South Heatherchester, New York, Wallis and Futuna",UID72229
Not worth the money.,Phone Call,2024-08-10 18:21:02,"Hudsonshire, Indiana, Papua New Guinea",UID54605
Not worth the money.,Mobile App,2024-07-07 07:11:51,"New Whitneyville, South Dakota, Mongolia",UID27462
Customer support was unhelpful.,Mobile App,2024-01-07 09:03:34,"Nelsonville, Idaho, Dominica",UID57244
Average experience.,Facebook,2024-10-20 00:35:41,"New Heathertown, Arizona, Cambodia",UID88391
Nothing special.,Email,2024-01-06 08:27:59,"West Matthewfort, Massachusetts, Maldives",UID23495
I want a refund.,Website,2025-01-06 13:00:12,"Escobarmouth, Indiana, Grenada",UID75327
I want a refund.,Website,2023-11-01 13:25:28,"East Nichole, Arizona, Bulgaria",UID10457
Loved the experience.,Website,2024-06-21 19:56:28,"Ortizchester, North Carolina, Jersey",UID53757
Loved the experience.,Facebook,2025-02-13 09:58:01,"Lisaview, Indiana, Bangladesh",UID34366
Terrible experience.,Mobile App,2023-08-03 20:51:41,"Martinland, Arkansas, Rwanda",UID90144
Great service!,Google,2024-10-29 04:39:43,"Gomezland, Maryland, Reunion",UID26384
Product matches the description.,Chatbot,2024-09-16 02:13:28,"Meganborough, South Carolina, Vietnam",UID43513
Terrible experience.,Website,2024-04-03 12:16:01,"Gabrielleport, West Virginia, Cook Islands",UID68104
Loved the experience.,Facebook,2023-07-26 12:59:15,"West Michaelfort, California, Panama",UID90188
It was okay.,Mobile App,2023-06-30 22:07:38,"Lake Brian, Texas, Sierra Leone",UID43804
Very satisfied with the product.,Google,2023-09-15 14:13:41,"Riverachester, Arizona, Micronesia",UID53910
Very satisfied with the product.,Email,2025-05-10 22:15:20,"Amymouth, Rhode Island, Comoros",UID54935
Loved the experience.,Website,2024-02-08 11:51:49,"Jamesburgh, Illinois, Bolivia",UID70946
Customer support was unhelpful.,Website,2023-12-16 03:01:31,"Kaylaburgh, West Virginia, Bolivia",UID26013
Will recommend to others.,Chatbot,2023-10-04 22:50:46,"Jasmineside, Nevada, Aruba",UID83135
Very satisfied with the product.,Phone Call,2024-04-20 08:34:30,"Lake Tanya, Alabama, Saudi Arabia",UID92952
No complaints.,Facebook,2024-09-22 22:38:20,"New Bradleyview, Arkansas, Palau",UID18106
Average experience.,Phone Call,2024-08-14 20:29:42,"West Davidport, West Virginia, Bosnia and Herzegovina",UID37517
Customer support was unhelpful.,Email,2024-01-08 11:29:51,"West Kristinside, Minnesota, American Samoa",UID37376
Loved the experience.,Mobile App,2024-10-24 12:36:34,"Lake Johnview, New Mexico, Niue",UID66947
Loved the experience.,Website,2023-12-24 16:20:29,"New Hailey, Iowa, Slovenia",UID26976
Excellent customer support!,Website,2024-04-12 21:14:29,"Charlesburgh, Hawaii, Spain",UID62461
Excellent customer support!,Google,2024-04-10 18:43:09,"Shannonmouth, Vermont, Ethiopia",UID70994
Loved the experience.,Mobile App,2024-11-12 05:33:04,"Lake Bailey, Idaho, France",UID98364
Loved the experience.,Website,2024-02-15 08:28:51,"New Sarah, Montana, American Samoa",UID85986
Great service!,Facebook,2025-03-14 21:38:42,"Davidtown, Ohio, Zimbabwe",UID40549
Very satisfied with the product.,Phone Call,2023-07-30 19:14:09,"Campbellview, Florida, Heard Island and McDonald Islands",UID16973
Excellent customer support!,Chatbot,2024-10-30 07:42:31,"New Holly, Washington, Sri Lanka",UID86554
Terrible experience.,Chatbot,2025-03-17 12:55:56,"Ricemouth, Wisconsin, Nigeria",UID37212
Very disappointed.,Google,2023-10-18 02:17:04,"Leonchester, North Carolina, Togo",UID68428
Will recommend to others.,Google,2023-10-11 05:56:10,"New Coreyside, Connecticut, Chad",UID35046
Loved the experience.,Chatbot,2023-09-22 04:56:40,"Kristafurt, Missouri, British Virgin Islands",UID26225
No complaints.,Phone Call,2025-05-22 15:19:38,"Nicoleside, Arizona, Netherlands Antilles",UID77454
Excellent customer support!,Website,2025-02-09 11:12:08,"Smithtown, Rhode Island, Serbia",UID58121
Very disappointed.,Google,2025-03-10 20:59:13,"Matthewstown, Rhode Island, Jordan",UID57192
Product matches the description.,Email,2024-10-31 09:29:37,"West Michelle, Connecticut, Switzerland",UID92042
Will recommend to others.,Mobile App,2025-03-02 00:08:30,"Cindyland, New Mexico, Guam",UID38720
Very disappointed.,Email,2024-10-12 05:18:44,"East David, Arkansas, Burkina Faso",UID78650
Average experience.,Phone Call,2024-10-28 18:44:13,"Paulabury, New York, Nepal",UID98805
Very satisfied with the product.,Mobile App,2024-05-28 22:58:04,"New Paulport, Tennessee, Dominica",UID84890
Product matches the description.,Email,2024-05-24 02:32:09,"Mccallside, New Jersey, Cocos (Keeling) Islands",UID12170
Product matches the description.,Website,2025-01-12 20:19:43,"Jamesland, New York, Burundi",UID58434
Average experience.,Website,2023-06-23 09:08:28,"West Jerrybury, Alaska, Albania",UID49642
Nothing special.,Facebook,2023-10-28 22:24:52,"West Stephanie, Oregon, United States Minor Outlying Islands",UID58188
I want a refund.,Phone Call,2025-02-12 07:28:18,"Nelsonview, California, Comoros",UID39157
I want a refund.,Chatbot,2025-05-13 11:36:56,"North Sandra, Minnesota, Bermuda",UID30623
Not worth the money.,Facebook,2024-08-30 20:30:34,"Gordonport, Ohio, Sao Tome and Principe",UID52363
Loved the experience.,Chatbot,2025-01-29 02:58:06,"Ericchester, Tennessee, Jersey",UID69022
Excellent customer support!,Mobile App,2023-10-27 05:22:49,"West Kevinborough, Alaska, Namibia",UID78471
Average experience.,Email,2025-04-09 17:42:11,"East Dawnport, Vermont, Mongolia",UID36762
Terrible experience.,Email,2023-08-26 02:05:25,"North Michael, Missouri, Northern Mariana Islands",UID82888
Excellent customer support!,Facebook,2024-02-16 22:36:28,"Port Lori, Missouri, Jersey",UID38960
Product matches the description.,Email,2024-06-15 04:28:03,"East Richardchester, Virginia, Congo",UID89585
I want a refund.,Phone Call,2024-02-06 03:10:41,"Lake Sarahmouth, Hawaii, Colombia",UID38533
Nothing special.,Facebook,2024-06-29 20:45:39,"East Donald, Massachusetts, Poland",UID58797
Loved the experience.,Google,2023-11-10 20:33:39,"Williammouth, Washington, Colombia",UID22399
No complaints.,Website,2025-02-24 17:47:42,"Farmershire, Indiana, Rwanda",UID86238
Product matches the description.,Website,2023-12-11 09:35:23,"Kellymouth, New Jersey, Germany",UID57553
Great service!,Google,2024-07-26 20:25:17,"Lake Jeffrey, Idaho, British Indian Ocean Territory (Chagos Archipelago)",UID53466
Very satisfied with the product.,Mobile App,2024-10-27 11:18:11,"Smithfurt, Maine, Albania",UID66937
No complaints.,Mobile App,2024-04-27 07:30:44,"Christopherborough, Vermont, Western Sahara",UID93610
It was okay.,Mobile App,2025-01-26 19:29:21,"West Juanberg, Maryland, Eritrea",UID94702
Terrible experience.,Website,2024-05-18 06:51:43,"North Nicole, New Hampshire, Tuvalu",UID74777
Customer support was unhelpful.,Facebook,2024-02-10 06:18:26,"North Ricardoberg, New York, Norfolk Island",UID49038
No complaints.,Chatbot,2023-06-12 02:00:31,"Lake Joseph, Delaware, El Salvador",UID79716
Terrible experience.,Google,2023-08-14 04:59:05,"Lake Michaelfurt, Rhode Island, Nigeria",UID83336
Average experience.,Chatbot,2024-03-30 01:52:43,"Port Sarah, Maryland, Chad",UID90692
Great service!,Google,2024-05-21 13:54:14,"Lake Charles, Montana, Yemen",UID79171
Terrible experience.,Website,2023-12-15 22:28:34,"Shelleyborough, Missouri, Libyan Arab Jamahiriya",UID29219
Customer support was unhelpful.,Google,2024-04-15 15:10:44,"Carrchester, New Mexico, Palestinian Territory",UID30015
Will recommend to others.,Website,2024-01-19 07:52:09,"Mendozaburgh, Missouri, Nauru",UID84184
Terrible experience.,Chatbot,2024-06-28 22:05:53,"Fletchertown, Colorado, Portugal",UID67903
Terrible experience.,Email,2023-11-23 09:12:51,"East David, South Carolina, Singapore",UID98691
Terrible experience.,Email,2024-08-04 12:29:06,"Port Cody, New Hampshire, Afghanistan",UID89130
I want a refund.,Website,2023-10-06 15:43:21,"Wadefort, Delaware, Netherlands Antilles",UID88181
Very disappointed.,Google,2024-08-08 23:18:00,"Jonesport, South Carolina, Bhutan",UID82919
Average experience.,Website,2025-03-22 13:24:02,"Davidmouth, Minnesota, Jamaica",UID47486
Not worth the money.,Mobile App,2023-08-30 12:03:34,"Stevensonborough, Ohio, Finland",UID96838
Average experience.,Google,2024-08-21 18:39:58,"Theresaberg, Montana, Antarctica (the territory South of 60 deg S)",UID19763
Very disappointed.,Email,2025-02-21 01:24:17,"Robertsonburgh, Hawaii, Macao",UID74303
Great service!,Facebook,2024-05-16 21:19:05,"Jenniferland, Maryland, Slovakia (Slovak Republic)",UID29610
It was okay.,Facebook,2023-07-31 13:21:40,"New Robinfurt, California, Peru",UID96794
Very satisfied with the product.,Google,2025-05-22 13:13:32,"Christinaborough, Hawaii, Saint Martin",UID59829
Product matches the description.,Google,2024-02-12 20:22:14,"Roseton, Oklahoma, Macedonia",UID99508
Nothing special.,Website,2024-02-11 00:23:17,"South Ashleyborough, Arkansas, Suriname",UID61186
Product matches the description.,Google,2024-11-23 05:06:00,"West Jill, New Mexico, Saint Pierre and Miquelon",UID34364
Loved the experience.,Website,2025-03-06 21:35:30,"North Jackberg, New Mexico, Croatia",UID76190
Not worth the money.,Email,2023-06-14 20:46:50,"East Morgan, South Dakota, Suriname",UID38026
It was okay.,Mobile App,2024-03-03 11:49:33,"Jacquelineville, Vermont, Poland",UID97494
Very disappointed.,Phone Call,2023-09-12 00:25:00,"North Steven, Georgia, Congo",UID22587
It was okay.,Facebook,2023-07-01 07:51:01,"East Nathan, Oklahoma, Canada",UID89063
Will recommend to others.,Email,2023-11-15 17:06:02,"New Amber, Utah, Guinea-Bissau",UID78078
Customer support was unhelpful.,Chatbot,2023-07-18 08:16:09,"Lake Davidbury, South Dakota, Serbia",UID13002
Product matches the description.,Google,2024-09-19 10:16:34,"Hinesfort, Kansas, Mauritania",UID30218
Not worth the money.,Website,2025-02-24 14:45:28,"Guzmanmouth, Oklahoma, Lao People's Democratic Republic",UID68625
No complaints.,Chatbot,2024-03-24 18:17:30,"Dunlapburgh, Kansas, India",UID35913
Product matches the description.,Email,2023-06-01 19:05:41,"Ianshire, Wyoming, Hungary",UID56845
Average experience.,Chatbot,2025-02-13 19:39:44,"Murphyport, Kentucky, Poland",UID46620
Very satisfied with the product.,Mobile App,2023-12-14 22:34:48,"Morganview, Illinois, Anguilla",UID17638
It was okay.,Email,2025-04-23 14:58:46,"Mooretown, Missouri, Malta",UID35929
Very disappointed.,Mobile App,2023-07-15 23:43:59,"Ericaside, South Dakota, French Southern Territories",UID48356
Average experience.,Chatbot,2025-02-13 13:42:51,"New Williammouth, Georgia, Australia",UID83299
Great service!,Website,2023-10-08 08:00:13,"North Jasontown, North Dakota, Faroe Islands",UID55884
Terrible experience.,Chatbot,2023-11-27 09:14:48,"New David, Maine, Ukraine",UID45638
Customer support was unhelpful.,Email,2023-07-31 04:47:17,"Port Veronicamouth, Pennsylvania, Isle of Man",UID49340
Customer support was unhelpful.,Phone Call,2023-12-06 08:52:43,"North Connie, Alabama, Korea",UID37971
Nothing special.,Email,2024-12-31 17:28:29,"Ashleymouth, Arkansas, Trinidad and Tobago",UID67734
It was okay.,Chatbot,2024-01-01 01:58:26,"Johnburgh, New Hampshire, Bhutan",UID52674
Excellent customer support!,Email,2025-02-26 05:26:46,"New Angela, Tennessee, Albania",UID13931
Average experience.,Mobile App,2023-09-14 04:23:14,"Tiffanyview, Wisconsin, Vanuatu",UID67244
Very disappointed.,Email,2023-08-21 09:48:43,"Millerfurt, Pennsylvania, Croatia",UID35084
I want a refund.,Phone Call,2024-11-07 23:49:08,"Lambview, Arkansas, Maldives",UID49707
Product matches the description.,Mobile App,2024-12-22 08:34:27,"Tinaville, Tennessee, Pakistan",UID21871
No complaints.,Phone Call,2024-04-23 03:20:23,"East John, Connecticut, Congo",UID80745
Nothing special.,Mobile App,2024-06-10 10:17:37,"Lake Lukeport, California, Argentina",UID45840
Will recommend to others.,Website,2023-12-01 11:43:27,"Jenkinsburgh, Idaho, Israel",UID15688
Product matches the description.,Email,2025-03-19 09:19:27,"Carolynville, Virginia, Greece",UID51800
Nothing special.,Email,2023-09-03 17:33:41,"Sarahside, Indiana, Mali",UID15318
Terrible experience.,Chatbot,2024-02-22 14:47:30,"Port Ryanmouth, New York, Malaysia",UID52384
Loved the experience.,Google,2023-07-22 17:38:04,"South Justinview, Virginia, Jordan",UID15908
No complaints.,Chatbot,2024-04-09 16:49:09,"Lindaville, Illinois, Chile",UID87554
Product matches the description.,Website,2024-11-08 14:08:54,"Port Rachelton, Idaho, Syrian Arab Republic",UID61548
Nothing special.,Website,2024-09-06 22:02:03,"West Adriennemouth, Utah, British Indian Ocean Territory (Chagos Archipelago)",UID39136
Terrible experience.,Website,2025-03-08 12:55:57,"New Michaelland, Delaware, Sweden",UID42916
Product matches the description.,Email,2023-07-07 03:06:16,"West Patrickberg, Illinois, Seychelles",UID53250
Great service!,Google,2024-12-25 21:41:54,"Johnmouth, South Dakota, Solomon Islands",UID23385
Average experience.,Mobile App,2024-08-28 16:19:25,"Hickshaven, Pennsylvania, American Samoa",UID14219
Excellent customer support!,Mobile App,2023-08-10 10:57:39,"Suzanneside, Delaware, Thailand",UID18322
Excellent customer support!,Email,2023-09-13 00:23:21,"West Roy, Colorado, Iran",UID15899
Will recommend to others.,Phone Call,2024-06-14 10:33:36,"Fosterberg, New Hampshire, Bhutan",UID50677
I want a refund.,Website,2024-03-30 05:10:45,"South Allison, South Dakota, Micronesia",UID60038
Very disappointed.,Website,2024-07-31 16:15:01,"Monicahaven, Wyoming, Poland",UID86992
Loved the experience.,Mobile App,2025-01-29 17:05:06,"Mullenside, California, Timor-Leste",UID62738
Customer support was unhelpful.,Website,2024-09-16 00:57:04,"Port Stephanie, Iowa, Gambia",UID70234
I want a refund.,Facebook,2024-06-17 03:13:02,"Burgessstad, Colorado, American Samoa",UID96123
It was okay.,Mobile App,2024-10-11 10:50:44,"Thomastown, South Dakota, Micronesia",UID20625
Loved the experience.,Facebook,2023-06-19 14:48:13,"New Franklin, Connecticut, Cuba",UID54306
Loved the experience.,Chatbot,2023-08-23 03:57:44,"Lake Kennethhaven, Idaho, Georgia",UID85307
Product matches the description.,Chatbot,2024-09-26 10:27:46,"Port Jodibury, Alaska, Falkland Islands (Malvinas)",UID51026
I want a refund.,Phone Call,2025-01-06 07:45:31,"Kyleshire, New Jersey, Marshall Islands",UID63578
No complaints.,Chatbot,2024-09-24 15:51:22,"Dwaynemouth, Oregon, Isle of Man",UID19192
No complaints.,Chatbot,2023-11-14 12:42:31,"Bethanytown, Wisconsin, Angola",UID15821
Will recommend to others.,Facebook,2025-05-18 00:15:19,"New Shannonhaven, Washington, Saint Lucia",UID51137
No complaints.,Google,2024-09-10 21:30:23,"East Joshua, Alabama, Bahamas",UID38161
Will recommend to others.,Google,2023-12-13 11:11:30,"New Michaelland, Illinois, Niue",UID81278
Customer support was unhelpful.,Facebook,2023-06-29 19:56:32,"North Scott, Missouri, Togo",UID23161
Excellent customer support!,Website,2024-03-24 21:27:33,"South Adamville, Missouri, Poland",UID51373
It was okay.,Phone Call,2024-12-08 15:40:41,"Hawkinsview, Nebraska, Georgia",UID13396
Excellent customer support!,Website,2025-02-03 05:37:28,"Port Danielle, Alaska, Venezuela",UID73166
Excellent customer support!,Facebook,2024-09-03 07:47:20,"Martinezport, Wyoming, Maldives",UID23884
Great service!,Google,2025-05-09 08:14:25,"New Danielfurt, Oregon, India",UID48574
Customer support was unhelpful.,Facebook,2024-09-07 05:59:11,"East Kimberly, Kentucky, Ukraine",UID81038
Will recommend to others.,Email,2023-12-11 17:40:44,"West Mitchellberg, Maryland, Luxembourg",UID17182
Very disappointed.,Email,2025-01-03 01:17:25,"Jacksonbury, Wyoming, Montenegro",UID48692
No complaints.,Phone Call,2024-04-09 05:18:29,"Lake Tammy, Georgia, Anguilla",UID85811
Loved the experience.,Mobile App,2024-11-26 02:16:39,"South Adrianview, Pennsylvania, Philippines",UID91981
Average experience.,Facebook,2025-05-11 12:11:35,"Stephaniefort, West Virginia, Reunion",UID56693
Very disappointed.,Email,2023-09-26 05:05:06,"North Patricia, Alaska, Bahrain",UID22437
No complaints.,Google,2024-05-01 17:05:32,"Lake Lauriechester, North Dakota, Uruguay",UID85548
I want a refund.,Mobile App,2024-03-13 19:02:07,"Port Samuel, Connecticut, Qatar",UID20680
Product matches the description.,Phone Call,2024-07-23 13:27:19,"Kristinshire, Indiana, Tajikistan",UID96542
Very disappointed.,Mobile App,2024-02-19 10:23:59,"Jessicaton, Maryland, Liberia",UID11020
It was okay.,Chatbot,2023-06-26 10:07:38,"Heatherland, Hawaii, Switzerland",UID50788
Nothing special.,Email,2024-04-14 08:21:17,"Paulstad, Missouri, Togo",UID36739
Nothing special.,Phone Call,2025-04-30 04:32:43,"Craigchester, Massachusetts, Indonesia",UID83203
Average experience.,Facebook,2024-03-24 13:20:27,"Ellismouth, New Jersey, Sierra Leone",UID74277
It was okay.,Email,2025-01-31 12:51:00,"North Lynnberg, Arizona, Vietnam",UID65386
Loved the experience.,Email,2024-06-13 15:21:49,"North Alexatown, Vermont, Guadeloupe",UID38836
Loved the experience.,Facebook,2024-09-24 01:19:24,"Port Michael, Nevada, Liechtenstein",UID35521
I want a refund.,Website,2024-09-28 01:11:02,"Port Stacy, Nebraska, Cocos (Keeling) Islands",UID31390
Great service!,Email,2024-03-02 15:21:54,"Derrickmouth, Nebraska, Belgium",UID44758
Great service!,Phone Call,2024-02-22 05:46:48,"Lake Jenniferbury, Illinois, Guatemala",UID37944
Very disappointed.,Mobile App,2025-04-02 22:25:13,"Amandahaven, Nebraska, Bahrain",UID75015
I want a refund.,Email,2024-06-21 06:38:12,"Chambershaven, West Virginia, Zimbabwe",UID55712
Terrible experience.,Chatbot,2023-10-22 07:34:42,"Port Johnnyview, Georgia, Central African Republic",UID68846
I want a refund.,Facebook,2024-08-29 03:52:51,"Fernandezborough, Florida, Sweden",UID60942
Very disappointed.,Facebook,2025-03-30 22:10:56,"Lake Hannahland, Virginia, Dominican Republic",UID33765
Terrible experience.,Chatbot,2023-11-12 22:11:54,"North Annette, Louisiana, Albania",UID14302
Nothing special.,Facebook,2023-07-02 16:05:40,"South Sarah, Nebraska, Guatemala",UID60899
Average experience.,Facebook,2024-07-30 05:46:05,"Marthashire, Texas, Syrian Arab Republic",UID66272
Customer support was unhelpful.,Chatbot,2023-06-08 04:05:13,"West Bobbymouth, Nevada, Grenada",UID22229
Great service!,Facebook,2024-12-18 07:43:51,"East Marymouth, Oklahoma, Liechtenstein",UID82662
Very disappointed.,Phone Call,2023-06-24 18:37:51,"New Markton, Georgia, Pitcairn Islands",UID94308
Excellent customer support!,Facebook,2025-05-08 03:22:11,"Mossshire, Alabama, Faroe Islands",UID25917
Nothing special.,Phone Call,2024-03-25 10:51:29,"South Cassandra, California, Slovakia (Slovak Republic)",UID97578
Nothing special.,Phone Call,2024-08-30 21:06:41,"New Kathyhaven, Nebraska, Turkmenistan",UID99069
No complaints.,Google,2023-12-19 23:49:14,"South Dean, Pennsylvania, United States of America",UID35646
Loved the experience.,Website,2024-04-12 21:35:43,"South Jackiefurt, New Hampshire, Paraguay",UID56815
No complaints.,Phone Call,2024-05-29 18:39:30,"South Sallymouth, Massachusetts, Colombia",UID74922
Nothing special.,Facebook,2024-09-02 02:11:14,"Baldwinshire, Virginia, French Southern Territories",UID66254
Loved the experience.,Facebook,2025-05-20 19:01:21,"Lake Paul, Connecticut, Guinea-Bissau",UID47288
Average experience.,Email,2025-03-20 14:48:49,"Jasminemouth, Ohio, Mauritius",UID66423
No complaints.,Chatbot,2024-12-12 23:22:38,"Lake Danaville, Vermont, Burundi",UID89338
Great service!,Email,2023-12-13 01:55:11,"Marissamouth, Wisconsin, Swaziland",UID60712
It was okay.,Email,2024-05-27 16:19:16,"West Benjaminside, New Mexico, Guadeloupe",UID63026
It was okay.,Website,2025-05-19 17:51:45,"Blakechester, Hawaii, Estonia",UID57095
Will recommend to others.,Google,2024-01-11 04:24:18,"New Juliaside, Ohio, Palestinian Territory",UID21672
Loved the experience.,Phone Call,2025-02-22 15:13:46,"Ramosshire, Virginia, Heard Island and McDonald Islands",UID16416
Very satisfied with the product.,Facebook,2025-03-27 20:51:05,"North Jeremiahshire, Delaware, Uruguay",UID78008
Very satisfied with the product.,Phone Call,2024-08-16 23:48:01,"New Steven, New Hampshire, Uruguay",UID45924
Excellent customer support!,Phone Call,2023-12-29 01:08:25,"West Nancytown, Connecticut, Dominican Republic",UID11747
Not worth the money.,Chatbot,2023-12-27 13:46:33,"Jasonburgh, Ohio, Panama",UID63355
Excellent customer support!,Chatbot,2025-01-09 10:43:38,"West Allenfurt, Idaho, Georgia",UID19879
No complaints.,Mobile App,2024-05-29 13:50:50,"Mcdanielborough, Minnesota, Tajikistan",UID23396
Very disappointed.,Phone Call,2024-05-02 14:48:51,"East Robert, Hawaii, Liberia",UID82326
Will recommend to others.,Mobile App,2025-05-07 01:20:41,"East Brandon, Texas, Montenegro",UID83914
Not worth the money.,Website,2023-06-04 18:18:49,"West Lucas, Maine, Georgia",UID84191
Very disappointed.,Phone Call,2024-03-30 00:03:01,"Lindabury, Wisconsin, Christmas Island",UID62945
Excellent customer support!,Chatbot,2025-03-05 11:09:14,"Lake Shellyton, Rhode Island, Gibraltar",UID53570
It was okay.,Mobile App,2024-01-11 16:01:19,"Hartville, New York, Kuwait",UID27262
Product matches the description.,Website,2025-02-07 21:22:55,"North Kimberly, New Mexico, Monaco",UID54627
Customer support was unhelpful.,Email,2025-05-19 16:43:59,"New Christineshire, South Carolina, Norway",UID83072
Excellent customer support!,Chatbot,2025-05-16 08:09:42,"Randychester, California, Lao People's Democratic Republic",UID81615
I want a refund.,Chatbot,2023-06-10 17:28:53,"Davidton, Indiana, Rwanda",UID15324
Not worth the money.,Google,2025-03-09 05:47:08,"Richardburgh, Massachusetts, Liberia",UID89742
Very disappointed.,Website,2024-11-15 04:25:27,"Andersonton, Washington, Nigeria",UID28753
No complaints.,Chatbot,2024-08-31 00:54:56,"East Alishastad, New Jersey, Senegal",UID12107
I want a refund.,Website,2025-05-06 18:51:32,"Nathanieltown, Arkansas, Serbia",UID69546
Product matches the description.,Mobile App,2023-12-12 07:05:28,"Joshuastad, Nevada, Thailand",UID33480
Terrible experience.,Chatbot,2025-03-11 11:14:36,"Frazierton, Mississippi, Saint Lucia",UID92195
Average experience.,Mobile App,2024-05-09 10:28:26,"South Nathan, Georgia, Spain",UID63246
I want a refund.,Facebook,2025-04-12 16:00:49,"North Frank, New Hampshire, Ghana",UID88717
Terrible experience.,Facebook,2024-07-19 18:41:35,"Port Samantha, Indiana, Monaco",UID22547
Not worth the money.,Mobile App,2024-11-20 22:33:26,"West Jamestown, Delaware, Samoa",UID28216
Product matches the description.,Facebook,2023-11-19 00:08:06,"Fletchertown, Texas, Korea",UID71526
Customer support was unhelpful.,Email,2023-10-17 07:30:15,"Lake Marthaberg, Washington, Fiji",UID51965
It was okay.,Google,2024-07-03 06:19:42,"Port Kimberly, Iowa, Oman",UID99965
Terrible experience.,Email,2024-05-22 09:28:01,"Rangelchester, New York, Lebanon",UID68456
Very disappointed.,Facebook,2024-09-12 15:51:55,"Selenafurt, Ohio, Greece",UID61148
Terrible experience.,Phone Call,2023-11-01 16:01:33,"West Darryl, Wisconsin, French Polynesia",UID80797
Customer support was unhelpful.,Facebook,2024-06-22 08:10:19,"Ericside, Rhode Island, Madagascar",UID34856
I want a refund.,Email,2024-07-27 06:22:11,"South Scottfort, South Dakota, Vietnam",UID26708
Customer support was unhelpful.,Email,2024-01-03 18:59:51,"Mcguirehaven, Michigan, Philippines",UID87921
Product matches the description.,Mobile App,2024-12-29 05:22:01,"Dunnfurt, Maryland, Haiti",UID95257
Great service!,Mobile App,2023-08-02 23:42:56,"West Devin, Oregon, Dominican Republic",UID58441
Terrible experience.,Phone Call,2023-12-18 22:30:40,"Medinaberg, Tennessee, New Zealand",UID75226
Product matches the description.,Phone Call,2024-10-27 00:09:34,"Christopherstad, Georgia, Cocos (Keeling) Islands",UID99629
Very disappointed.,Google,2024-10-25 22:01:15,"Hesterborough, Massachusetts, Botswana",UID18245
Customer support was unhelpful.,Google,2023-08-01 23:55:21,"Castillofurt, Kansas, Eritrea",UID37037
Loved the experience.,Website,2024-09-24 21:06:31,"West Justinfort, Texas, Libyan Arab Jamahiriya",UID29393
Terrible experience.,Google,2024-05-03 14:32:50,"Seanchester, Wyoming, Congo",UID54591
Will recommend to others.,Phone Call,2024-08-22 13:51:50,"Hopkinsland, Alaska, Congo",UID61154
Great service!,Email,2023-07-18 02:34:51,"Phelpsburgh, New York, Libyan Arab Jamahiriya",UID52077
No complaints.,Phone Call,2025-04-04 10:11:35,"Schmittchester, Texas, Mauritania",UID91173
I want a refund.,Mobile App,2024-06-22 11:16:00,"Kimport, Washington, Uruguay",UID18194
Terrible experience.,Facebook,2023-10-09 12:43:10,"West Ginatown, Texas, Swaziland",UID57443
Will recommend to others.,Phone Call,2025-03-10 07:39:43,"Thomasport, Montana, China",UID29686
Will recommend to others.,Chatbot,2023-09-15 20:36:51,"South Jasonchester, Michigan, Bermuda",UID39840
Terrible experience.,Phone Call,2024-07-12 11:22:23,"Mathewsville, Minnesota, Djibouti",UID21489
Great service!,Email,2023-08-01 12:54:35,"North Kelly, California, Philippines",UID45677
Customer support was unhelpful.,Facebook,2025-03-23 18:12:25,"Lake Adriana, South Dakota, New Zealand",UID53173
No complaints.,Google,2024-06-19 14:00:24,"Hansonside, West Virginia, Switzerland",UID47769
Nothing special.,Google,2024-12-15 07:03:52,"Guerrerochester, Massachusetts, Solomon Islands",UID29585
Great service!,Facebook,2023-08-18 17:51:36,"Samuelchester, Arkansas, Slovenia",UID89237
Loved the experience.,Email,2025-01-28 09:46:53,"South Alexisstad, Oregon, Dominica",UID45503
